epoch,loss,val_loss
0,0.025161077425581328,0.0
1,0.03389830508474576,0.0
2,0.10163924451601708,0.0
3,0.025423729066121496,0.04781541629449748
4,0.09321872965764191,3.388413252961494e-08
5,0.06799052125316556,0.6629674958019722
6,0.13517216908729682,0.0
7,0.059322033898305086,0.0
8,0.025423728813559324,0.0
9,0.07627118644067797,0.0
10,0.05084745762711865,0.0
11,0.01694915254237288,0.0
12,0.059322033898305086,0.0
13,0.01694915254237288,0.0
14,0.0423728813559322,0.0
15,0.03389830508474576,0.0
16,0.03389830508474576,0.0
17,0.0423728813559322,0.0
18,0.01694915254237288,0.0
19,0.00847457627118644,0.0
20,0.03389830508474576,0.0
21,0.03389830508474576,0.0
22,0.07627118644067797,0.0
23,0.059322033898305086,0.0
24,0.07627118644067797,0.0
25,0.01694915304749699,0.0
26,0.05084745762711865,0.0
27,0.042372881608494256,0.0
28,0.025423728813559324,0.0
29,0.05084745762711865,0.0
30,0.01694915254237288,0.0
31,0.025423728813559324,0.0
32,0.059322033898305086,0.0
33,0.1271186440677966,0.0
34,0.0423728813559322,0.0
35,0.07627118644067797,0.0
36,0.03389830533730782,0.0
37,0.025423728813559324,0.0
38,0.025423728813559324,0.0
39,0.042372303493952344,0.0
40,0.04237324302479372,0.0
41,0.07627118644067797,0.0
42,0.025423728813559324,0.0
43,0.03389830306424933,0.0
44,0.01694915254237288,0.0
45,0.025423728813559324,0.0
46,0.059322033898305086,0.0
47,0.059322033898305086,0.0
48,0.1016949152542373,0.0
49,0.00847457627118644,0.0
50,0.025423728813559324,0.0
51,0.03389830508474576,0.0
52,0.08474576170161618,0.0
53,0.0423728813559322,0.0
54,0.01694915254237288,0.0
55,0.00847457627118644,0.0
56,0.01694915254237288,0.0
57,0.03389830508474576,0.0
58,0.025423728813559324,0.0
59,0.11016948950492729,0.0
60,0.05084745813224275,0.0
61,0.0423728813559322,0.0
62,0.03389830508474576,0.0
63,0.01694915254237288,0.0
64,0.016949152794934936,0.0
65,0.0,0.0
66,0.050847457879680695,0.0
67,0.07627118644067797,0.0
68,0.018219142899674884,0.4634146341463415
69,0.23728813609834445,0.8780487804878049
70,0.363592659012746,0.07317073170731707
71,0.5593220328880568,0.6345494665750643
72,0.618642919144388,0.8292682926829268
73,0.370522458674544,0.926829268292683
74,0.69491525322704,0.5853658536585366
75,0.7796610442258544,0.9024390243902439
76,0.8050847366704779,0.9024390243902439
77,0.7796610179594008,0.9024390243902439
78,0.788125958483098,0.9024390243902439
79,0.609943566686016,0.4634146341463415
80,0.4661016951678163,0.43902439024390244
81,0.4406779661016949,0.43902439024390244
82,0.46610191110837257,0.43902439024390244
83,0.4322033898305085,0.43902439024390244
84,0.4406779661016949,0.43902439024390244
85,0.4322033908407567,0.43902439024390244
86,0.4406779661016949,0.43902439024390244
87,0.4322033898305085,0.43902439024390244
88,0.4322033898305085,0.43902439024390244
89,0.423728813559322,0.43902439024390244
90,0.4322033903356326,0.43902439024390244
91,0.4322033908407567,0.43902439024390244
92,0.4322033898305085,0.43902439024390244
93,0.440677966354257,0.43902439024390244
94,0.4745750432297335,0.43902439024390244
95,0.4151257354127033,0.3902439024390244
96,0.3474576271186441,0.3902439024390244
97,0.3813559324559519,0.3902439024390244
98,0.3983050857560109,0.3902439024390244
99,0.3644064589072082,0.3902439024390244
100,0.36440678016614103,0.3902439024390244
